1	1
6	5	4	O
3	3	0	B	1
3	3	1	B	1
6	5	0	R	1
6	5	1	G	2

1	2
0	7	3	O
0	7	0	G	2
3	3	0	B	1
3	3	1	B	1
6	5	0	R	1

1	3
5	3	6	O
3	3	0	B	1
5	3	0	B	1
6	5	0	R	1
6	5	1	G	2

1	4
7	5	7	O
3	3	0	B	1
6	5	0	R	1
6	5	1	G	2
7	5	0	B	1

1	5
7	7	6	O
3	3	0	B	1
3	3	1	B	1
6	5	0	R	1
7	7	0	G	2

2	1
4	4	7	O
0	0	0	X	1
0	1	0	X	1
0	2	0	X	1
0	3	0	X	1
0	4	0	X	1
0	5	0	X	1
0	6	0	X	1
0	7	0	X	1
0	7	1	X	1
0	7	2	X	1
0	7	3	X	1
0	7	4	X	1
1	0	0	X	1
1	1	0	X	1
1	2	0	X	1
1	3	0	X	1
1	4	0	X	1
1	5	0	X	1
1	6	0	X	1
1	7	0	X	1
1	7	1	X	1
1	7	2	X	1
1	7	3	X	1
1	7	4	X	1
2	0	0	X	1
2	1	0	X	1
2	2	0	X	1
2	3	0	X	1
2	4	0	X	1
2	5	0	X	1
2	6	0	X	1
2	7	0	X	1
2	7	1	X	1
2	7	2	X	1
2	7	3	X	1
2	7	4	X	1
3	0	0	X	1
3	1	0	X	1
3	1	1	B	1
3	1	2	B	1
3	1	3	B	1
3	1	4	B	1
3	2	0	X	1
3	3	0	X	1
3	4	0	X	1
3	4	1	R	1
3	4	2	Y	1
3	4	3	R	1
3	4	4	Y	1
3	5	0	X	1
3	6	0	X	1
3	7	0	X	1
3	7	1	X	1
3	7	2	X	1
3	7	3	X	1
3	7	4	X	1
4	0	0	X	1
4	1	0	X	1
4	2	0	X	1
4	3	0	X	1
4	4	0	X	1
4	5	0	X	1
4	6	0	X	1
4	7	0	X	1
4	7	1	X	1
4	7	2	X	1
4	7	3	X	1
4	7	4	X	1
5	0	0	X	1
5	1	0	X	1
5	2	0	X	1
5	3	0	X	1
5	4	0	X	1
5	5	0	X	1
5	6	0	X	1
5	7	0	X	1
5	7	1	X	1
5	7	2	X	1
5	7	3	X	1
5	7	4	X	1
6	0	0	X	1
6	1	0	X	1
6	2	0	X	1
6	2	1	G	1
6	2	2	G	1
6	2	3	G	1
6	2	4	G	1
6	3	0	X	1
6	4	0	X	1
6	5	0	X	1
6	6	0	X	1
6	7	0	X	1
6	7	1	X	1
6	7	2	X	1
6	7	3	X	1
6	7	4	X	1
7	0	0	X	1
7	1	0	X	1
7	2	0	X	1
7	3	0	X	1
7	4	0	X	1
7	5	0	X	1
7	6	0	X	1
7	7	0	X	1
7	7	1	X	1
7	7	2	X	1
7	7	3	X	1
7	7	4	X	1

2	2
3	1	7	O
0	0	0	X	1
0	1	0	X	1
0	2	0	X	1
0	3	0	X	1
0	4	0	X	1
0	5	0	X	1
0	6	0	X	1
0	7	0	X	1
0	7	1	X	1
0	7	2	X	1
0	7	3	X	1
0	7	4	X	1
1	0	0	X	1
1	1	0	X	1
1	2	0	X	1
1	3	0	X	1
1	4	0	X	1
1	5	0	X	1
1	6	0	X	1
1	7	0	X	1
1	7	1	X	1
1	7	2	X	1
1	7	3	X	1
1	7	4	X	1
2	0	0	X	1
2	1	0	X	1
2	2	0	X	1
2	3	0	X	1
2	4	0	X	1
2	5	0	X	1
2	6	0	X	1
2	7	0	X	1
2	7	1	X	1
2	7	2	X	1
2	7	3	X	1
2	7	4	X	1
3	0	0	X	1
3	1	0	X	1
3	1	1	B	1
3	1	2	B	1
3	1	3	B	1
3	1	4	B	1
3	2	0	X	1
3	3	0	X	1
3	4	0	X	1
3	4	1	R	1
3	4	2	Y	1
3	4	3	R	1
3	5	0	X	1
3	6	0	X	1
3	7	0	X	1
3	7	1	X	1
3	7	2	X	1
3	7	3	X	1
3	7	4	X	1
4	0	0	X	1
4	1	0	X	1
4	2	0	X	1
4	3	0	X	1
4	4	0	X	1
4	5	0	X	1
4	6	0	X	1
4	7	0	X	1
4	7	1	X	1
4	7	2	X	1
4	7	3	X	1
4	7	4	X	1
5	0	0	X	1
5	1	0	X	1
5	2	0	X	1
5	3	0	X	1
5	4	0	X	1
5	5	0	X	1
5	6	0	X	1
5	7	0	X	1
5	7	1	X	1
5	7	2	X	1
5	7	3	X	1
5	7	4	X	1
6	0	0	X	1
6	1	0	X	1
6	2	0	X	1
6	2	1	G	1
6	2	2	G	1
6	2	3	G	1
6	2	4	G	1
6	2	5	Y	1
6	3	0	X	1
6	4	0	X	1
6	5	0	X	1
6	6	0	X	1
6	7	0	X	1
6	7	1	X	1
6	7	2	X	1
6	7	3	X	1
6	7	4	X	1
7	0	0	X	1
7	1	0	X	1
7	2	0	X	1
7	3	0	X	1
7	4	0	X	1
7	5	0	X	1
7	6	0	X	1
7	7	0	X	1
7	7	1	X	1
7	7	2	X	1
7	7	3	X	1
7	7	4	X	1

2	3
3	4	7	O
0	0	0	X	1
0	1	0	X	1
0	2	0	X	1
0	3	0	X	1
0	4	0	X	1
0	5	0	X	1
0	6	0	X	1
0	7	0	X	1
0	7	1	X	1
0	7	2	X	1
0	7	3	X	1
0	7	4	X	1
1	0	0	X	1
1	1	0	X	1
1	2	0	X	1
1	3	0	X	1
1	4	0	X	1
1	5	0	X	1
1	6	0	X	1
1	7	0	X	1
1	7	1	X	1
1	7	2	X	1
1	7	3	X	1
1	7	4	X	1
2	0	0	X	1
2	1	0	X	1
2	2	0	X	1
2	3	0	X	1
2	4	0	X	1
2	5	0	X	1
2	6	0	X	1
2	7	0	X	1
2	7	1	X	1
2	7	2	X	1
2	7	3	X	1
2	7	4	X	1
3	0	0	X	1
3	1	0	X	1
3	1	1	B	1
3	1	2	B	1
3	1	3	B	1
3	2	0	X	1
3	3	0	X	1
3	4	0	X	1
3	4	1	R	1
3	4	2	Y	1
3	4	3	R	1
3	4	4	Y	1
3	4	5	B	1
3	5	0	X	1
3	6	0	X	1
3	7	0	X	1
3	7	1	X	1
3	7	2	X	1
3	7	3	X	1
3	7	4	X	1
4	0	0	X	1
4	1	0	X	1
4	2	0	X	1
4	3	0	X	1
4	4	0	X	1
4	5	0	X	1
4	6	0	X	1
4	7	0	X	1
4	7	1	X	1
4	7	2	X	1
4	7	3	X	1
4	7	4	X	1
5	0	0	X	1
5	1	0	X	1
5	2	0	X	1
5	3	0	X	1
5	4	0	X	1
5	5	0	X	1
5	6	0	X	1
5	7	0	X	1
5	7	1	X	1
5	7	2	X	1
5	7	3	X	1
5	7	4	X	1
6	0	0	X	1
6	1	0	X	1
6	2	0	X	1
6	2	1	G	1
6	2	2	G	1
6	2	3	G	1
6	2	4	G	1
6	3	0	X	1
6	4	0	X	1
6	5	0	X	1
6	6	0	X	1
6	7	0	X	1
6	7	1	X	1
6	7	2	X	1
6	7	3	X	1
6	7	4	X	1
7	0	0	X	1
7	1	0	X	1
7	2	0	X	1
7	3	0	X	1
7	4	0	X	1
7	5	0	X	1
7	6	0	X	1
7	7	0	X	1
7	7	1	X	1
7	7	2	X	1
7	7	3	X	1
7	7	4	X	1

2	4
7	7	7	O
0	0	0	X	1
0	1	0	X	1
0	2	0	X	1
0	3	0	X	1
0	4	0	X	1
0	5	0	X	1
0	6	0	X	1
0	7	0	X	1
0	7	1	X	1
0	7	2	X	1
0	7	3	X	1
0	7	4	X	1
1	0	0	X	1
1	1	0	X	1
1	2	0	X	1
1	3	0	X	1
1	4	0	X	1
1	5	0	X	1
1	6	0	X	1
1	7	0	X	1
1	7	1	X	1
1	7	2	X	1
1	7	3	X	1
1	7	4	X	1
2	0	0	X	1
2	1	0	X	1
2	2	0	X	1
2	3	0	X	1
2	4	0	X	1
2	5	0	X	1
2	6	0	X	1
2	7	0	X	1
2	7	1	X	1
2	7	2	X	1
2	7	3	X	1
2	7	4	X	1
3	0	0	X	1
3	1	0	X	1
3	1	1	B	1
3	1	2	B	1
3	1	3	B	1
3	1	4	B	1
3	2	0	X	1
3	3	0	X	1
3	4	0	X	1
3	4	1	R	1
3	4	2	Y	1
3	4	3	R	1
3	4	4	Y	1
3	5	0	X	1
3	6	0	X	1
3	7	0	X	1
3	7	1	X	1
3	7	2	X	1
3	7	3	X	1
3	7	4	X	1
4	0	0	X	1
4	1	0	X	1
4	2	0	X	1
4	3	0	X	1
4	4	0	X	1
4	5	0	X	1
4	6	0	X	1
4	7	0	X	1
4	7	1	X	1
4	7	2	X	1
4	7	3	X	1
4	7	4	X	1
5	0	0	X	1
5	1	0	X	1
5	2	0	X	1
5	3	0	X	1
5	4	0	X	1
5	5	0	X	1
5	6	0	X	1
5	7	0	X	1
5	7	1	X	1
5	7	2	X	1
5	7	3	X	1
5	7	4	X	1
6	0	0	X	1
6	1	0	X	1
6	2	0	X	1
6	2	1	G	1
6	2	2	G	1
6	2	3	G	1
6	3	0	X	1
6	4	0	X	1
6	5	0	X	1
6	6	0	X	1
6	7	0	X	1
6	7	1	X	1
6	7	2	X	1
6	7	3	X	1
6	7	4	X	1
7	0	0	X	1
7	1	0	X	1
7	2	0	X	1
7	3	0	X	1
7	4	0	X	1
7	5	0	X	1
7	6	0	X	1
7	7	0	X	1
7	7	1	X	1
7	7	2	X	1
7	7	3	X	1
7	7	4	X	1
7	7	5	G	1

2	5
3	7	7	O
0	0	0	X	1
0	1	0	X	1
0	2	0	X	1
0	3	0	X	1
0	4	0	X	1
0	5	0	X	1
0	6	0	X	1
0	7	0	X	1
0	7	1	X	1
0	7	2	X	1
0	7	3	X	1
0	7	4	X	1
1	0	0	X	1
1	1	0	X	1
1	2	0	X	1
1	3	0	X	1
1	4	0	X	1
1	5	0	X	1
1	6	0	X	1
1	7	0	X	1
1	7	1	X	1
1	7	2	X	1
1	7	3	X	1
1	7	4	X	1
2	0	0	X	1
2	1	0	X	1
2	2	0	X	1
2	3	0	X	1
2	4	0	X	1
2	5	0	X	1
2	6	0	X	1
2	7	0	X	1
2	7	1	X	1
2	7	2	X	1
2	7	3	X	1
2	7	4	X	1
3	0	0	X	1
3	1	0	X	1
3	1	1	B	1
3	1	2	B	1
3	1	3	B	1
3	1	4	B	1
3	2	0	X	1
3	3	0	X	1
3	4	0	X	1
3	4	1	R	1
3	4	2	Y	1
3	4	3	R	1
3	4	4	Y	1
3	5	0	X	1
3	6	0	X	1
3	7	0	X	1
3	7	1	X	1
3	7	2	X	1
3	7	3	X	1
3	7	4	X	1
3	7	5	G	1
4	0	0	X	1
4	1	0	X	1
4	2	0	X	1
4	3	0	X	1
4	4	0	X	1
4	5	0	X	1
4	6	0	X	1
4	7	0	X	1
4	7	1	X	1
4	7	2	X	1
4	7	3	X	1
4	7	4	X	1
5	0	0	X	1
5	1	0	X	1
5	2	0	X	1
5	3	0	X	1
5	4	0	X	1
5	5	0	X	1
5	6	0	X	1
5	7	0	X	1
5	7	1	X	1
5	7	2	X	1
5	7	3	X	1
5	7	4	X	1
6	0	0	X	1
6	1	0	X	1
6	2	0	X	1
6	2	1	G	1
6	2	2	G	1
6	2	3	G	1
6	3	0	X	1
6	4	0	X	1
6	5	0	X	1
6	6	0	X	1
6	7	0	X	1
6	7	1	X	1
6	7	2	X	1
6	7	3	X	1
